Update: 196, Reward_mean: -0.3030197944598929, Loss: [-0.03594475984573364]
Update: 197, Reward_mean: -0.13694682068405328, Loss: [0.07062257081270218]
Update: 198, Reward_mean: -0.1185872386496672, Loss: [0.07620259374380112]
Update: 199, Reward_mean: -0.08338736776330549, Loss: [0.06297946721315384]
Update: 200, Reward_mean: -0.07759704185474248, Loss: [0.036299608647823334]
Update: 201, Reward_mean: -0.36823788560773535, Loss: [0.003740958869457245]
Update: 202, Reward_mean: -0.1446993876130281, Loss: [0.09639683365821838]
Update: 203, Reward_mean: -0.18347109036332399, Loss: [-0.05144687369465828]
Update: 204, Reward_mean: -0.01671135586502741, Loss: [0.051258187741041183]
Update: 205, Reward_mean: -0.0891293285514673, Loss: [-0.001979490742087364]
Update: 206, Reward_mean: -0.048338789403969296, Loss: [0.06783361732959747]
Update: 207, Reward_mean: -0.1060662944514905, Loss: [0.07890959084033966]
Update: 208, Reward_mean: -0.03827068708723109, Loss: [0.039632610976696014]
Update: 209, Reward_mean: -0.06668500106141091, Loss: [0.12083279341459274]
Update: 210, Reward_mean: -0.15990226525674314, Loss: [-0.015722423791885376]
Update: 211, Reward_mean: 0.04888451082676181, Loss: [-0.012250155210494995]
Update: 212, Reward_mean: 0.20316048454495741, Loss: [0.12580236792564392]
Update: 213, Reward_mean: -0.04860206350362641, Loss: [0.05201483145356178]
Update: 214, Reward_mean: 0.06336498210892995, Loss: [0.1254986673593521]
Update: 215, Reward_mean: 0.24769181706081306, Loss: [0.11970216035842896]
Update: 216, Reward_mean: 0.13797745297254504, Loss: [0.09367728978395462]
Update: 217, Reward_mean: -0.15148336870859044, Loss: [-0.09255869686603546]
Update: 218, Reward_mean: 0.07244068117127526, Loss: [0.026587652042508125]
Update: 219, Reward_mean: 0.11069690688460936, Loss: [0.06700463593006134]
Update: 220, Reward_mean: -0.013039488771146607, Loss: [0.06444604694843292]
Update: 221, Reward_mean: 0.1753488547146064, Loss: [0.05963660776615143]
Update: 222, Reward_mean: 0.16733148135451492, Loss: [0.09641764312982559]
Update: 223, Reward_mean: 0.29285568919591476, Loss: [0.17208798229694366]
Update: 224, Reward_mean: 0.18742991834110315, Loss: [0.046449750661849976]
Update: 225, Reward_mean: 0.21668318119374372, Loss: [0.03685970604419708]
Update: 226, Reward_mean: -0.014367046757711928, Loss: [0.018571332097053528]
Update: 227, Reward_mean: 0.11828101367911621, Loss: [0.04947059229016304]
Update: 228, Reward_mean: 0.06828576063978663, Loss: [0.027057969942688942]
Update: 229, Reward_mean: 0.10283160026729445, Loss: [0.07186048477888107]
Update: 230, Reward_mean: 0.17511228073520704, Loss: [0.06008881330490112]
Update: 231, Reward_mean: 0.10135736272832996, Loss: [0.028829945251345634]
Update: 232, Reward_mean: 0.10754136361220487, Loss: [-0.004567265510559082]
Update: 233, Reward_mean: 0.2019893519507268, Loss: [0.10203581303358078]
Update: 234, Reward_mean: 0.19837693671854892, Loss: [0.04754837229847908]
Update: 235, Reward_mean: 0.13878121621154987, Loss: [0.06520527601242065]
Update: 236, Reward_mean: 0.1609147941590639, Loss: [0.030421659350395203]
Update: 237, Reward_mean: 0.2642667250046571, Loss: [0.029200544580817223]
Update: 238, Reward_mean: 0.34381958424515446, Loss: [0.06931176036596298]
Update: 239, Reward_mean: 0.31737832386899967, Loss: [0.06710091233253479]
Update: 240, Reward_mean: 0.408064687046787, Loss: [0.09043938666582108]
Update: 241, Reward_mean: 0.4793040946777176, Loss: [0.066819928586483]
Update: 242, Reward_mean: 0.5704636291911028, Loss: [0.018001891672611237]
Update: 243, Reward_mean: 0.9389401210644774, Loss: [0.08081849664449692]
Update: 244, Reward_mean: 0.6828806381888426, Loss: [0.07886634767055511]
Update: 245, Reward_mean: 0.19016201418498582, Loss: [0.08080575615167618]
Update: 246, Reward_mean: 0.4920914167149699, Loss: [0.1328965127468109]
Update: 247, Reward_mean: 0.6081945152717406, Loss: [0.06946180760860443]
Update: 248, Reward_mean: 0.6523336162589933, Loss: [0.030085714533925056]
Update: 249, Reward_mean: 0.7167833997892011, Loss: [0.3355613052845001]
Update: 250, Reward_mean: 0.806032021929607, Loss: [0.1745695173740387]
Update: 251, Reward_mean: 0.4494665251914821, Loss: [0.03759407252073288]
Update: 252, Reward_mean: 0.4071638354839838, Loss: [0.16512154042720795]
Update: 253, Reward_mean: 0.6307789054041537, Loss: [0.08064805716276169]
Update: 254, Reward_mean: 0.43200668527159597, Loss: [0.14007577300071716]
Update: 255, Reward_mean: 0.19985351124105832, Loss: [0.07486573606729507]
Update: 256, Reward_mean: 0.7722076043832122, Loss: [0.06651134788990021]
Update: 257, Reward_mean: 0.6174814526754275, Loss: [-0.0710555762052536]
Update: 258, Reward_mean: 0.4211008474273917, Loss: [0.0957389771938324]
Update: 259, Reward_mean: 0.6156291767881891, Loss: [0.10643750429153442]
Update: 260, Reward_mean: 0.9339410031734238, Loss: [0.13518653810024261]
Update: 261, Reward_mean: 0.7773747905958277, Loss: [0.0749063640832901]
Update: 262, Reward_mean: 0.6305850900765068, Loss: [0.03375168889760971]
Update: 263, Reward_mean: 0.5941464190622445, Loss: [0.09660577028989792]
Update: 264, Reward_mean: 0.49342272093597117, Loss: [0.08371482044458389]
Update: 265, Reward_mean: 0.3199731514151804, Loss: [0.026169221848249435]
Update: 266, Reward_mean: 0.7379817845928336, Loss: [0.14900825917720795]
Update: 267, Reward_mean: 0.875752722082132, Loss: [0.17563121020793915]
Update: 268, Reward_mean: 0.6080578760752757, Loss: [0.022935975342988968]
Update: 269, Reward_mean: 0.6547661042108854, Loss: [0.20530521869659424]
Update: 270, Reward_mean: 0.6606183523827117, Loss: [0.060166433453559875]
Update: 271, Reward_mean: 0.504767169080096, Loss: [0.057568490505218506]
Update: 272, Reward_mean: 0.5181918007638173, Loss: [0.08248927444219589]
Update: 273, Reward_mean: 0.6159051939548131, Loss: [0.06918781250715256]
Update: 274, Reward_mean: 0.41314534865744934, Loss: [0.026408527046442032]
Update: 275, Reward_mean: 0.3399131363156202, Loss: [0.14137500524520874]
Update: 276, Reward_mean: 0.6389814667542679, Loss: [0.17353011667728424]
Update: 277, Reward_mean: 0.6986378558737674, Loss: [0.03923514857888222]
Update: 278, Reward_mean: 0.7262804664326585, Loss: [0.06302512437105179]
Update: 279, Reward_mean: 0.883451314807763, Loss: [0.12972253561019897]
Update: 280, Reward_mean: 1.0166802249349864, Loss: [0.06246388703584671]
Update: 281, Reward_mean: 0.7885922475986167, Loss: [0.11847616732120514]
Update: 282, Reward_mean: 0.9618512773939498, Loss: [0.07153753936290741]
Update: 283, Reward_mean: 0.7650556794301114, Loss: [0.055579282343387604]
Update: 284, Reward_mean: 0.8541148710792393, Loss: [0.12609320878982544]
Update: 285, Reward_mean: 0.5181614194489037, Loss: [0.028678707778453827]
Update: 286, Reward_mean: 0.7270225925245332, Loss: [0.19439980387687683]
Update: 287, Reward_mean: 0.6452816572030471, Loss: [0.10299698263406754]
Update: 288, Reward_mean: 0.5779398884741745, Loss: [0.08576641231775284]
Update: 289, Reward_mean: 0.41041560407836075, Loss: [-0.04782647639513016]
Update: 290, Reward_mean: 0.45974887148747234, Loss: [-0.019877299666404724]
Update: 291, Reward_mean: 0.3659416936679795, Loss: [0.06829021126031876]
Update: 292, Reward_mean: 0.5642378304795377, Loss: [0.11526821553707123]
Update: 293, Reward_mean: 0.6158721756600768, Loss: [-0.004966285079717636]
Update: 294, Reward_mean: 0.4611702692377532, Loss: [0.11630739271640778]
Update: 295, Reward_mean: 0.3899099889897883, Loss: [0.17522449791431427]
Update: 296, Reward_mean: 0.46547277871644255, Loss: [0.08351899683475494]
Update: 297, Reward_mean: 0.6593393828413181, Loss: [0.11070992052555084]
Update: 298, Reward_mean: 0.8204510023784601, Loss: [0.11691500246524811]
Update: 299, Reward_mean: 0.6712469716224568, Loss: [0.03674653545022011]
Update: 300, Reward_mean: 0.4554343077725644, Loss: [0.0855201855301857]
Update: 301, Reward_mean: 0.6819781674590338, Loss: [0.042703405022621155]
Update: 302, Reward_mean: 0.8939020990237398, Loss: [0.10739858448505402]
Update: 303, Reward_mean: 0.5539385015080769, Loss: [-0.1690642237663269]
Update: 304, Reward_mean: 0.4016517121029077, Loss: [0.054836731404066086]
Update: 305, Reward_mean: 0.5798913246752054, Loss: [0.12032896280288696]
Update: 306, Reward_mean: 0.6059153936528874, Loss: [0.11366080492734909]
Update: 307, Reward_mean: 0.5971199528568164, Loss: [0.04079292342066765]
Update: 308, Reward_mean: 0.715251122801994, Loss: [0.07598188519477844]
Update: 309, Reward_mean: 0.6099883457088, Loss: [0.04289919137954712]
Update: 310, Reward_mean: 0.5580300196404697, Loss: [0.010194368660449982]
Update: 311, Reward_mean: 0.6862787746023273, Loss: [0.1135542094707489]
Update: 312, Reward_mean: 0.8388321162594143, Loss: [0.06570818275213242]
Update: 313, Reward_mean: 0.4139349500578593, Loss: [0.03706452250480652]
Update: 314, Reward_mean: 0.2812324415712107, Loss: [0.03313368931412697]
Update: 315, Reward_mean: 0.5346246450876289, Loss: [0.1547098159790039]
Update: 316, Reward_mean: 0.7735194971550694, Loss: [0.13180768489837646]
Update: 317, Reward_mean: 0.8431512989998942, Loss: [0.08531534671783447]
Update: 318, Reward_mean: 0.9398508904284354, Loss: [0.11318538337945938]
Update: 319, Reward_mean: 0.6487804358304313, Loss: [0.03776053711771965]
Update: 320, Reward_mean: 0.672218752432845, Loss: [0.13906823098659515]
Update: 321, Reward_mean: 0.6746821712156256, Loss: [0.05331018567085266]
Update: 322, Reward_mean: 0.7803002881116294, Loss: [0.0893058329820633]
Update: 323, Reward_mean: 0.6154485479884723, Loss: [0.2629208266735077]
Update: 324, Reward_mean: 0.3453040388842321, Loss: [-0.055824387818574905]
Update: 325, Reward_mean: 0.8105350502663349, Loss: [0.19535709917545319]
Update: 326, Reward_mean: 0.8338392862259836, Loss: [0.03818259760737419]
Update: 327, Reward_mean: 0.937034038865888, Loss: [0.04261111468076706]
Update: 328, Reward_mean: 0.9068862220966653, Loss: [0.11236663162708282]
Update: 329, Reward_mean: 0.963868041346146, Loss: [0.12774284183979034]
Update: 330, Reward_mean: 0.8758098011699773, Loss: [0.13101375102996826]
Update: 331, Reward_mean: 0.9281938737391822, Loss: [0.13349667191505432]
Update: 332, Reward_mean: 0.9625695735342991, Loss: [0.11136588454246521]
Update: 333, Reward_mean: 0.7772409596900779, Loss: [0.1019127368927002]
Update: 334, Reward_mean: 0.6523474214452183, Loss: [0.3879268169403076]
Update: 335, Reward_mean: 0.8220245612138568, Loss: [0.06310965120792389]
Update: 336, Reward_mean: 0.8375904914108776, Loss: [0.08988356590270996]
Update: 337, Reward_mean: 0.7409008041453712, Loss: [0.06278660148382187]
Update: 338, Reward_mean: 0.6472812375416683, Loss: [0.02151193469762802]
Update: 339, Reward_mean: 0.7644181640993853, Loss: [0.05536803603172302]
Update: 340, Reward_mean: 0.5378758210513483, Loss: [0.05168459191918373]
Update: 341, Reward_mean: 0.6015145422873311, Loss: [0.08353709429502487]
Update: 342, Reward_mean: 0.8614007622105937, Loss: [0.07806932926177979]
Update: 343, Reward_mean: 0.6555136080088076, Loss: [0.022099558264017105]
Update: 344, Reward_mean: 0.40104168664467765, Loss: [0.038454849272966385]
Update: 345, Reward_mean: 0.8941508805861409, Loss: [0.08399434387683868]
